node,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
và,-0.030394072,-0.042564575,0.35527357,-0.16095111,0.022284443,0.40951616,-0.283147,0.22426137,-0.08827818,0.066442154,-0.08354168,-0.25244144,0.30554637,-0.4128445,0.05109367,0.21057653,-0.0373915,-0.11861812,-0.012670832,0.21960254,0.25966778,-0.4160612,-0.69223344,-0.22766864,0.568928,0.054490678,-0.157583,-0.2905574,-0.11658812,0.28231704,-0.16579211,0.067944214,-0.08166393,-0.1659134,0.4077118,-0.43629146,0.28544188,-0.44618484,0.041709185,-0.15737116,-0.3290427,0.297982,0.16682218,0.094271734,0.04992109,0.30926374,-0.17498758,-0.09090381,0.2408255,-0.35539454,0.083126545,0.13501497,0.19658238,-0.18661073,-0.4209966,-0.2300781,0.35933045,-0.17908013,0.12528138,-0.039582543,0.2962943,0.26670006,-0.084553234,0.35369062
là,0.13886772,0.38944203,0.72167975,-0.5988834,-0.09535138,-0.036219552,-0.04867272,-0.044216063,-0.29362902,-0.08715961,0.1582929,-0.06982522,-0.04858205,-0.13602066,-0.11458409,0.12743315,-0.017304732,0.08941816,-0.20867154,0.30162573,0.2968074,0.0043979753,-0.22842562,-0.350243,0.120045274,-0.08740972,-0.13045357,0.18460838,-0.15308139,0.12598859,-0.0048684115,-0.08708679,0.113143,-0.040749587,-0.11691276,-0.14455575,0.18798958,0.0065996377,0.080461025,-0.27737182,0.253007,0.08295629,-0.064695895,-0.022002961,0.24462011,0.16576807,-0.09920368,-0.27439043,-0.06306584,-0.25644693,0.35902992,0.41935435,-0.13184287,-0.4052767,0.08062048,-0.14852937,0.089316905,-0.32663393,0.40699363,0.32944053,-0.088250645,0.20144752,-0.027213307,0.11198499
của,0.07239761,-0.022692878,0.19427001,-0.32300407,-0.11882889,-0.19620454,0.022649385,-0.012328322,-0.23239675,-0.45120186,0.26824945,-0.43546847,0.108080946,-0.056957413,0.018582903,-0.12310684,-0.1335919,0.094673745,-0.2115857,0.34280458,0.06222602,0.10028133,-0.21017602,-0.6171117,0.55992585,-0.38852617,-0.3086392,0.20127703,0.26693344,0.13793086,0.0031571572,-0.21746059,-0.14533332,-0.48796588,0.10584693,-0.5370885,0.15597722,0.042261723,-0.10371819,0.19163515,0.019910194,-0.018091882,-0.19704767,0.12993793,0.4149234,0.19463389,0.031674206,-0.13440867,-0.18945509,-0.58758473,-0.06684423,0.5656221,-0.084994584,-0.18204582,-0.2953244,0.041969843,0.31337377,0.23234455,0.026730195,-0.08758354,-0.0461344,-0.01041762,0.0082005365,0.22316293
đại dương,0.22263907,-0.004596436,0.36757103,-0.45005572,0.17876805,-0.18835893,-0.17828272,-0.3078823,-0.15589309,0.25426963,-0.016974552,0.09326097,0.16571707,-0.34594074,-0.09399216,0.21866402,0.018674655,0.2617634,0.31875965,-0.0065193377,0.30457062,-0.27985603,-0.130147,-0.19810542,-0.119846076,-0.30633077,-0.063075684,-0.2044735,-0.08367536,0.32488856,0.36253038,0.12161164,-0.14436837,-0.45227557,0.1363237,-0.008552939,0.5957225,0.16723081,-0.06353216,0.25293592,-0.24029465,0.29122627,-0.060649086,-0.07904227,0.33131754,0.1995679,0.010633333,0.0077383886,-0.38947147,-0.48338127,-0.14234237,0.30067563,-0.5067715,0.015834618,0.01756391,0.0777159,0.27929124,-0.36223844,-0.117638096,-0.26748043,0.021427106,0.2689787,0.05279908,0.14089292
thái bình dương,0.43488872,0.102253325,0.3371726,-0.3266521,-0.19932315,-0.2921057,0.03574353,0.15747052,0.24795274,-0.20214875,-0.48087886,-0.26445198,-0.24426813,0.117857665,-0.06677839,0.038231187,-0.20910755,0.33603862,-0.2308106,0.12955989,0.11512834,-0.014823261,-0.5060801,0.17254247,0.23898976,-0.28920513,0.47140938,0.20821948,0.2824502,-0.10763343,0.22450252,0.0057258043,-0.15741937,0.025196852,-0.103891805,-0.323553,0.27690527,-0.1359653,0.064037815,0.39088696,0.13845907,-0.063978024,-0.44874507,0.0384327,-0.07091152,0.3309736,-0.27733976,0.06669109,-0.19915777,-0.3843926,0.35946772,0.44309166,-0.33946386,-0.30164278,-0.26912108,0.38907802,0.2118196,-0.068414725,0.47681865,-0.039062563,0.046983626,0.036844667,-0.12067935,0.16562866
nhất,0.09586543,0.025294969,0.4894847,-0.08230957,-0.081068695,-0.19947883,-0.0799227,-0.36439362,-0.31336564,-0.17402382,-0.453146,-0.25573397,-0.15926756,-0.3749819,-0.26062936,0.2331431,-0.24745753,0.1656992,-0.27939966,0.5197849,0.19370835,-0.21286497,-0.23902728,-0.12209362,0.48321232,-0.04717749,0.08642324,0.052183226,0.04035055,0.06819176,-0.10574282,-0.47736645,-0.20231543,-0.3197223,-0.010745462,-0.07496913,0.45524952,-0.07198668,-0.026293501,0.21550575,0.20807348,0.20499009,-0.13367598,0.048180703,0.39223614,0.109346725,-0.32363927,0.061169945,-0.09186363,-0.493623,-0.41217783,0.3985966,-0.27634618,-0.44487217,-0.16434424,0.14247958,0.3210331,0.3474236,0.1373049,-0.009661749,-0.10215577,-0.037650965,-0.13923892,0.052478053
hàng,-0.45219988,-0.35599738,0.37012756,-0.52023035,0.33252287,0.59604007,-0.21866256,-0.44659418,-0.2813511,0.1753134,0.30065745,-0.11448055,-0.14498132,-0.29392642,0.24322668,0.02118055,0.36962757,0.43006003,0.019161945,0.19229594,0.37238276,0.31158578,-0.21530405,0.08672606,-0.027907044,-0.47784334,0.16836958,-0.23320863,-0.38676035,0.037350584,-0.22500996,-0.15252413,0.2757569,-0.17383692,-0.33327344,-0.41558492,0.37573135,0.24253398,-0.047430687,0.4158208,-0.41732198,-0.2613742,0.18828861,-0.16981034,0.43794483,0.215847,-0.18835464,-0.3364091,-0.25232863,-0.43038264,0.21889703,-0.2171637,-0.099007346,-0.09076574,-0.275329,-0.30201825,0.62440723,-0.16004509,-0.042138003,-0.08816497,0.12166936,0.29242438,-0.06702829,-0.03711605
với,-0.32037866,-0.38161358,0.5256463,-0.15948325,0.03343621,0.28360096,-0.1472547,-0.23710531,-0.45828322,0.108055726,-0.22837915,-0.61602265,-0.0031801916,-0.60212505,0.08584126,-0.30149728,-0.18539311,0.15653922,0.032908287,0.7849365,0.18337882,0.09267943,-0.009663677,-0.09692191,0.1711725,-0.1442497,0.18516058,0.0741511,0.20825164,0.18391502,-0.43297195,-0.50559306,-0.23270738,0.108716935,0.06521979,-0.2799922,0.2774691,0.050367128,-0.4545929,-0.16390909,-0.018823545,-0.37819687,0.078119606,-0.010338633,0.34363446,0.2995302,-0.0894831,-0.4575945,-0.16587093,-0.24777825,-0.31584916,0.013871433,-0.7172457,-0.3580303,-0.3699704,-0.372025,-0.007976671,-0.111342944,0.25975144,-0.38075837,-0.30427843,-0.17478383,0.3283479,0.302171
trái đất,-0.3865071,-0.1779383,0.3848547,-0.17924207,-0.3429703,0.07244797,-0.16680324,0.11582146,-0.34383723,-0.36786804,0.07523497,-0.5902499,-0.05176098,-0.18800671,-0.07512574,-0.52539355,-0.11421363,0.34136492,-0.22484802,0.46511173,0.04856447,0.0690899,-0.4356298,-0.25908342,0.61153907,-0.32415542,0.03217201,0.13533227,0.04931859,-0.02578572,-0.3140642,-0.6018133,0.059022535,-0.10632704,-0.058523986,-0.14336145,0.26236263,0.30140248,-0.3589926,-0.045454536,0.29851115,0.049571723,-0.13269204,-0.25767526,0.2588927,0.040696602,0.3467788,-0.260142,-0.06703435,-0.575472,-0.282605,0.21079798,-0.15810633,-0.35536495,-0.3892743,-0.12221585,0.5268215,0.53173167,0.5833152,-0.34024268,-0.3893331,-0.033811007,-0.11126086,0.023664426
nhiều,-0.26638508,0.03880712,0.58718646,-0.22519036,0.03903292,0.5443841,-0.28088722,-0.16245863,0.07556137,0.31009993,-0.3669835,-0.36384162,0.18365566,-0.4165861,0.2629565,0.26100206,-0.22038135,0.101502635,0.05533563,0.40871888,0.20938413,-0.11230146,-0.18694063,0.0055569336,0.20488055,0.2441463,0.3241025,-0.06091987,0.016265376,0.2868534,0.11107923,-0.39692283,-0.42642176,-0.10247825,-0.05380491,-0.67133594,0.2759507,-0.49526685,-0.11927026,-0.12811328,-0.0150812,-0.017586175,-0.18405694,-0.1395416,0.08237718,0.47927472,-0.1764952,-0.6882939,0.10940034,-0.11034016,0.11584895,-0.1447803,-0.5794554,-0.2924889,-0.6338584,-0.37048513,0.08975497,-0.2289731,-0.28758693,-0.24890947,0.024616297,-0.20560864,0.036368523,0.36008057
trên,0.52890825,0.28539723,0.5855106,-0.40833628,-0.22752081,-0.09731062,-0.23088132,0.15324023,0.16451465,0.4070098,-0.08641179,-0.14341709,0.020597652,-0.34167713,0.13546361,-0.38964385,-0.24255566,0.28592074,-0.22446677,0.050790783,0.018351847,-0.23955578,-0.66593206,0.16579033,-0.053170767,-0.06277778,0.32924283,0.16702895,0.31995386,0.1015794,0.2009025,0.07280119,-0.05496918,-0.031014252,0.31676808,-0.13366467,0.5124294,-0.38251078,-0.27051213,-0.055260237,0.3347282,-0.33429682,0.011553301,-0.07366754,-0.2346734,0.44583267,-0.0032346377,-0.41513574,-0.26473156,-0.40073875,0.9716704,0.40571445,-0.34847185,-0.2678924,-0.6166988,-0.13831288,0.5540857,-0.88057977,-0.10367273,-0.2931438,0.08405404,0.41889054,-0.150878,0.07125436
này,0.19943593,-0.013703886,0.09741802,-0.3211115,0.31637165,-0.20875794,-0.32880718,-0.078679174,-0.20892659,0.39376563,0.079399705,-0.08125181,0.44797066,-0.43154046,-0.09408952,0.27689543,-0.25002763,0.23041967,-0.11690238,-0.1169149,0.3255635,-0.3411861,0.02660962,-0.4394507,-0.043467373,-0.2899058,-0.3724678,-0.24858901,-0.12512428,0.6703482,0.15312272,-0.24781936,-0.15474302,-0.39905035,0.21148545,-0.35183665,0.8753634,-0.034062486,0.013190589,-0.3078237,-0.18974724,0.20600091,-0.07456088,-0.15106884,0.26172006,0.29147512,0.18072966,-0.692473,-0.5400741,-0.24771677,0.13001417,0.038708635,-0.6349696,-0.40711993,-0.14974624,-0.12616713,0.17891936,-0.5206787,-0.23772478,-0.047254723,-0.32434687,0.39032304,0.53915423,0.27259535
các,-0.04729773,-0.24902163,0.024243163,0.19314253,-0.23437382,-0.092695385,0.24519625,0.23273566,0.23352024,0.05750333,0.10432161,-0.20656931,0.35397682,0.19394408,-0.6037648,-0.40998775,0.13620257,0.48223552,0.03844235,0.20471264,0.07521622,-0.48941612,-0.5413745,-0.19013698,0.47300857,-0.034169678,-0.063101165,-0.037908606,0.015430294,0.20823796,0.4619681,-0.011111363,-0.5809786,-0.38471997,-0.035416923,-0.21994297,0.3087673,0.038902156,-0.26584095,-0.18613306,-0.08651185,0.8450512,-0.34137225,-0.1427162,0.18716027,0.22451735,0.3587183,-0.21052174,-0.3002767,-0.6364091,0.16331804,0.14506544,-0.51798564,0.15079361,-0.3955421,0.019811634,0.64775485,-0.32461584,-0.03583597,-0.59820294,-0.03134378,-0.0986839,-0.2827565,-0.019564435
châu mỹ,-0.35563672,-0.57222056,0.47826114,-0.27249375,0.3044652,0.4491205,0.14849657,-0.46580276,-0.3165248,0.3195442,0.06488284,-0.4790307,0.11024262,-0.53105086,-0.34098434,-0.44854608,0.420341,0.5101837,7.8045035e-05,0.7803961,0.42876264,-0.20322001,-0.31773424,0.2100515,-0.03561697,-0.34986606,0.22209124,-0.115347825,-0.26508963,0.28227577,-0.5285202,-0.038080886,0.056454774,0.21347453,0.009403926,-0.09219202,-0.093100026,-0.095895685,-0.37633735,-0.18640384,-0.39582297,-0.3214539,0.21981962,0.048054766,0.44179648,0.29474187,-0.1483725,-0.15875988,-0.044585064,-0.53076863,0.084969215,-0.24003524,-0.38712344,-0.20720018,-0.2716651,-0.5276043,0.3832435,-0.53548074,0.26839852,-0.46324888,0.03300218,0.18789323,0.19122075,0.067598835
biển,0.2921153,0.12120237,0.46424237,-0.7113842,-0.11264502,-0.17300594,-0.2740801,-0.34019044,-0.22409636,-0.20407511,0.62929916,-0.19543163,-0.21987629,-0.27065948,0.050965857,-0.46647784,-0.04998632,0.8476361,-0.24652797,-0.21561061,0.15508518,0.2406997,-0.4102341,-0.033554718,-0.13821681,-0.48459667,-0.09149642,0.08514401,-0.027617093,0.014392649,0.20323063,0.030910492,0.32090974,-0.4781586,0.18306194,-0.15007143,0.21384074,0.31820777,0.055641755,0.17100483,0.13225211,-0.32124868,-0.024862556,-0.27566236,0.20305716,0.10338248,0.2573609,-0.19718486,-0.39533538,-0.61518985,0.90868086,0.41965798,-0.25635612,-0.31107467,0.006826608,-0.09450217,0.69089675,-0.50787574,0.046611503,-0.18645918,-0.016004434,0.7047745,0.106912315,-0.27852747
núi,-0.3551741,-0.06939476,0.48840058,-0.29826906,0.5735783,0.47049418,-0.18900262,-0.46573845,0.1817727,-0.013196938,-0.1908302,-0.2166666,-0.10636321,-0.35213137,0.11700211,0.28349686,0.087201715,0.4018262,-0.022620978,0.28359213,0.1910501,0.024514783,-0.5061138,0.013043206,0.17501253,0.0734485,0.4044608,-0.1721755,-0.28746676,0.31268075,0.0124005405,-0.47847146,-0.17191993,-0.44032803,-0.5244457,-0.9072069,0.40611932,-0.30258873,0.16118063,0.12996519,-0.02801568,0.020224156,0.099151894,-0.080343194,0.27898198,0.40406072,-0.22488157,-0.38449576,0.08193586,-0.22302048,-0.05609635,-0.12015694,-0.27511328,-0.2437962,-0.48058885,-0.42840794,0.47836494,-0.10098969,-0.41573274,-0.33420184,0.19095196,-0.07725573,0.017223746,0.09713637
