node,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
với,-0.30756247,0.31796396,0.24386033,-0.05720651,-0.10111424,0.46626565,-0.49616194,0.10420598,-0.068465136,0.03959093,-0.44143304,0.06805597,0.057215787,-0.365894,-0.26567405,0.07785595,-0.055890594,0.45806235,0.117819734,-0.40852043,0.29966572,-0.17371155,-0.049660325,0.11930481,0.19117868,-0.033374667,0.05245803,-0.27720195,-0.185004,0.3339594,-0.038956087,-0.012692471,-0.10682372,0.016433805,0.14425096,-0.14920709,0.25378898,-0.14489989,-0.16881686,0.16712391,-0.30329126,0.29208055,0.33340552,0.1704774,0.3863124,0.37251604,-0.05064008,0.1060851,-0.60388803,-0.6081103,0.2613253,-0.11587649,-0.22589627,0.1336923,-0.46256858,-0.30770135,0.22365926,0.11648886,0.19863082,0.18081237,-0.13242258,0.105631486,0.15879469,0.1953562
đến,0.13118272,-0.18952405,0.21690767,0.11719115,-0.12651981,-0.054725002,0.014108826,-0.22635642,-0.09543114,-0.101009235,-0.15225148,0.048365254,0.07319531,0.12679733,-0.2129827,-0.7670086,-0.020397196,0.40625238,-0.3594154,0.7988418,0.10528013,-0.17453127,-0.47328037,0.17072654,0.02954047,-0.0070966566,-0.32526082,0.22608587,-0.24326289,-0.23750125,0.095210776,-0.15048464,0.09986279,0.08626063,0.35022697,-0.07979496,0.0895981,0.024720404,0.06028994,-0.059712525,-0.24535932,-0.1817935,-0.2554101,0.022218525,-0.14821567,0.2842448,-0.17580704,-0.5573785,0.19575234,-0.55556464,0.32221165,0.20762487,0.13198155,-0.6056387,-0.24974196,-0.23260498,0.084928595,-0.2533701,0.057129283,-0.73109025,-0.03644769,0.20445088,-0.11589861,0.18781158
liên sơn,0.053171314,-0.11268541,0.1748296,0.14059858,0.33402473,-0.007859163,-0.1087388,-0.18732649,0.2391863,0.0045629805,0.14619194,-0.0821849,0.044798963,-0.13700217,-0.09405113,-0.33189964,0.09182173,0.38224095,-0.49435893,0.5822366,0.5237748,-0.22795302,-0.05805,0.26160526,0.085510164,-0.26239282,0.0027667566,0.1385256,-0.28081834,-0.081672244,-0.06058894,-0.25416663,-0.17113769,-0.07012424,0.34488207,-0.20510386,0.22851975,0.22259542,-0.03243146,-0.07673002,-0.17324533,-0.15996268,0.002017446,-0.25211874,-0.25932086,0.17427416,-0.40463418,-0.42510357,-0.1489212,-0.33506796,0.2926863,0.29839665,-0.2795966,-0.15027687,-0.5511685,-0.09546222,0.15416539,-0.35047618,-0.06057803,-0.42677984,-0.23523712,0.31820938,0.65597826,0.18462346
và,0.27289143,0.02841516,0.24715747,0.048030198,-0.09069222,0.19312678,-0.4606139,0.5059863,-0.35207987,0.114382006,-0.19223587,-0.2287948,0.29147178,-0.2244684,-0.11346116,-0.29662874,-0.0074901087,0.5857144,-0.059605483,-0.11809478,0.25965333,-0.1641036,-0.0877182,-0.33903807,-0.08393093,-0.018608127,0.11050215,-0.0024016213,-0.1627294,-0.20911376,0.040028296,-0.30385804,0.375087,-0.43637946,-0.21603394,0.05230019,0.20451169,-0.14877947,-0.35095522,0.3171583,-0.15540768,-0.16683048,-0.014134848,0.37453315,0.3354781,0.3391289,0.13923001,-0.06634548,-0.6315328,-0.62198794,-0.018742083,-0.105903655,0.012907493,-0.21838354,-0.12747765,-0.09877832,0.2490654,0.13575943,-0.17326376,-0.3316879,-0.38047633,0.08639971,0.19661754,-0.029971052
được,-0.022021154,-0.19895767,0.03250704,0.102274925,0.22387628,-0.17369607,-0.052418306,0.42171192,-0.09215787,0.17169693,-0.186103,-0.027218346,-0.1638965,-0.37401438,-0.45212412,-0.33172566,-0.050297964,0.7327538,0.013534418,-0.084898606,0.4979884,0.22111772,-0.46669245,-0.0828708,-0.13628358,-0.016674297,0.07811658,-0.099276386,-0.15208595,0.3173841,0.114674285,0.08180769,0.28525957,0.19533116,0.22622715,-0.3504457,0.2421235,0.015955696,0.38366416,-0.41903773,-0.46318382,-0.23160115,0.03444137,-0.11463292,-0.27220118,0.111853376,0.016559148,-0.075064644,-0.4031653,-0.7814553,0.53551835,-0.050576054,-0.20237648,-0.22963455,-0.70907307,-0.16538316,-0.1208658,-0.2893863,-0.12427635,-0.18192197,-0.13705713,0.51041806,0.13688561,0.31584966
núi,0.068701155,0.32731995,0.44732946,0.14075641,0.086514935,0.32093742,-0.47836688,-0.23530279,0.41661793,0.21467324,-0.17565244,-0.07820386,0.2801993,-0.044830304,-0.10058766,-0.11727841,0.014873655,0.3088019,-0.16208553,0.4190727,0.14456804,-0.531158,-0.08995532,0.27976906,0.55875254,-0.22014208,0.043425474,-0.018532546,-0.31249386,0.2023708,0.15194279,-0.21147047,-0.34227765,-0.16393732,0.39846897,-0.013566403,0.034010846,-0.07757365,-0.36075923,0.15586531,0.0008679209,0.64733106,0.16846505,0.1987961,-0.062305834,0.25087386,-0.26938087,-0.39602545,-0.21085577,-0.5279234,0.08602593,0.32538253,-0.102655046,-0.10668803,-0.24509491,-0.30856165,0.5775386,0.02342052,-0.23559709,-0.20591,-0.2832331,0.29830387,0.47797754,0.44683245
tả,-0.14918415,-0.07883542,0.19989718,0.16209674,0.38347787,-0.06124299,-0.09191636,-0.12065268,0.112551704,0.13602947,0.12795994,0.06186151,-0.134206,-0.23836401,0.0074190465,-0.3138177,0.14056501,0.43136215,-0.4746921,0.45310134,0.57786703,-0.047905758,-0.15314151,0.18892448,-0.10464563,-0.27509576,0.037914056,0.0031386684,-0.19816989,0.086099364,-0.07452862,-0.07724796,-0.007441729,0.06994376,0.50599873,-0.2080028,0.4092229,-0.045094486,0.144476,0.07414263,-0.25034434,-0.24747759,0.11523084,-0.3445523,-0.09928296,0.40582955,-0.4906533,-0.3653575,-0.22308506,-0.22962075,0.37326676,0.3143317,-0.21406037,-0.060256507,-0.67275363,-0.009708584,0.14727443,-0.39228797,9.751131e-05,-0.40070388,-0.2213213,0.3049317,0.587952,0.27350435
cao,-0.11038502,0.41991207,0.2949186,0.1254455,0.24841739,0.29434636,-0.29931426,-0.16857156,0.1591408,0.19346236,-0.1335333,0.048807595,0.121300496,-0.44386896,0.0029979136,0.076403044,-0.22325666,0.5715854,-0.17816707,0.023681045,0.4698855,-0.15655692,-0.16831571,0.20852278,0.28323805,-0.16551538,0.07533055,-0.10699671,-0.20795272,0.42564133,0.044719182,0.057760872,-0.18085453,0.17986429,0.5482038,-0.27968845,0.31158087,-0.37248057,-0.20514852,0.2578535,0.022857912,0.44060764,0.41521338,-0.008886175,0.17556015,0.23368281,-0.50279474,-0.44883782,-0.47053674,-0.50775987,0.28244215,0.09522414,-0.02373516,0.060158946,-0.43776086,-0.15579233,0.5069884,-0.031668793,0.20608251,-0.16280481,-0.35133868,0.21877502,0.731135,0.38081753
vẻ,0.24655493,-0.01268226,-0.050709065,0.24545893,-0.006216824,-0.06221231,0.006669115,0.3308356,-0.35395566,0.1766776,-0.018923037,0.21013206,0.24140272,-0.48270884,-0.11191333,-0.3919799,-0.18683657,0.94280267,-0.051493254,0.13236192,0.48809692,0.11993765,-0.67562526,-0.29425296,0.17460345,-0.09181426,0.19555973,0.2139927,-0.2521606,0.22281279,0.24555488,-0.012011512,0.26748934,0.09347953,0.24105439,-0.22707239,0.24245402,-0.1349938,0.18732396,-0.026194425,0.024011562,-0.113714784,-0.0062214024,0.2812932,-0.103798,0.04601826,-0.06740231,-0.54413956,-0.51738244,-0.9453482,0.3547946,-0.14290813,0.5149825,-0.6836625,-0.16520011,-0.26203847,0.23782541,-0.08026123,0.16533698,-0.66234434,-0.45660958,0.30283192,0.3761003,0.14084087
ngọn,0.02772564,0.35007456,0.4154098,0.09415698,-0.022655193,0.42790774,-0.6572152,-0.11824875,0.3669159,0.321224,-0.21539775,-0.013461562,0.36146864,-0.20426473,-0.08693824,-0.009925786,0.089313805,0.3679802,-0.081444435,0.23117328,0.21151611,-0.48079652,-0.084132574,0.26487836,0.5560201,-0.2686643,0.191482,-0.10911356,-0.24681538,0.31333464,0.17142586,-0.16695862,-0.2742396,-0.1519011,0.24259919,-0.02410986,0.10026921,-0.13192226,-0.31794047,0.21975796,-0.068524905,0.66410315,0.1931944,0.2526861,0.10361314,0.2718004,-0.2337424,-0.17117219,-0.32900643,-0.56886595,0.1215247,0.24288322,-0.12991372,-0.10943946,-0.144939,-0.35422555,0.63575906,0.0655008,-0.22931036,-0.13782778,-0.29244104,0.25750956,0.50961614,0.4614174
