node,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
và,-0.038940202,0.14800319,0.08634782,0.0025326973,-0.0129788015,0.048676748,-0.2004464,-0.2704433,-0.384897,-0.062251236,0.010701566,-0.16622254,0.05859122,-0.14427468,0.00051912555,-0.026554396,-0.14620265,0.12195288,0.24658513,0.17660578,0.28925848,-0.07058502,-0.2809234,0.022471895,0.25743115,-0.2839452,-0.05399644,0.016090717,-0.19931482,0.12653948,0.064692505,0.092560545,-0.15395428,-0.1047617,0.2646516,-0.3717767,0.07136361,-0.29230115,-0.22383209,0.093495674,-0.22575766,-0.0904558,0.12117366,0.22054785,0.102060996,0.22933453,-0.088326864,-0.12173989,0.1154687,-0.05861737,0.22942592,0.38168794,-0.39560542,0.09980148,-0.0810887,-0.42675093,0.11176083,-0.1382452,0.27835268,-0.2292817,0.0037862463,0.1398488,-0.11809806,0.27379957
của,0.08234748,-0.2063772,0.44027662,-0.13217716,-0.15425664,0.09651822,-0.07265554,-0.08214012,0.078415535,-0.21010572,-0.47692084,-0.36458352,0.08274524,-0.2846695,-0.1204912,-0.011511573,0.36241108,0.4264131,-0.15865462,0.23976873,-0.024437306,-0.035838827,-0.054361522,-0.31457135,0.039709266,0.15737544,-0.2151661,-0.2822529,-0.007180625,0.08269603,0.113434166,0.17191271,-0.15961574,0.08688503,0.22086203,0.057615098,0.59401256,-0.38383442,0.18936092,-0.051506273,-0.16829798,0.34173706,-0.4605223,0.18847151,0.18090944,0.15879457,-0.18295039,-0.45274892,-0.065375865,-0.4240618,0.03984845,-0.005927938,-0.09584534,-0.3444221,-0.29433936,-0.12435992,0.07561601,-0.4266534,0.021838665,-0.20787893,0.004488053,0.3393088,0.115072794,-0.08742458
là,0.35118207,-0.21750349,0.3169921,-0.26485038,-0.32795042,0.38175103,-0.2168248,-0.021039706,-0.19326437,-0.15935954,-0.14784667,-0.09234989,0.2267478,-0.3735282,-0.013968859,0.23919465,-0.35258088,0.5987058,-0.10564916,0.06662273,0.079194754,-0.13279766,0.07983845,-0.01752407,0.33947715,-0.052154012,-0.069151156,0.018703159,-0.2300912,0.24945222,0.1437139,-0.0028023636,-0.10033951,0.3197034,0.20177594,0.16497903,0.40004793,0.1055534,-0.183785,-0.1472785,-0.23761345,-0.260319,-0.052923933,-0.18968129,0.26300398,0.2774715,0.05700481,-0.41695434,-0.17836122,-0.18876246,0.46810636,-0.049327206,0.10683528,-0.7597858,-0.37396523,0.020661606,0.055484626,0.03790448,0.21859242,0.29242554,-0.11271228,0.0659316,-0.021292875,0.024959406
biển,-0.07447943,0.09632241,0.4785071,-0.20205422,0.050424624,0.074037135,-0.3027443,0.29122517,-0.4512742,0.161635,-0.044530194,-0.23733963,-0.03677079,-0.11376492,-0.19127168,0.25523347,0.1493309,0.24026856,-0.04504044,0.25886127,0.1000392,-0.32830092,-0.03202381,-0.41219264,-0.008720708,-0.20221518,-0.1832518,0.11245359,-0.18236673,-0.04527759,0.28966987,0.13649705,0.07395039,-0.13040999,0.2737486,-0.29062632,0.2654928,-0.55501,-0.16696928,0.5039075,-0.39023662,0.2833749,-0.090706326,-0.018895699,0.31281823,0.08388216,-0.18260223,-0.28509563,-0.3251791,-0.2667561,-0.06294341,0.20554386,-0.29035145,-0.1509975,0.006772319,-0.5967796,0.36989054,-0.4866625,0.015401412,-0.13898915,-0.096067406,-0.024147764,-0.36019063,0.2753124
ấn độ,0.09025146,0.19109127,0.40233523,-0.22231275,0.059273664,-0.18196213,-0.18939154,-0.014782029,0.17780353,-0.39912784,-0.23340857,-0.17165759,-0.24261943,-0.32638234,-0.23780583,-0.54761493,-0.25112036,0.38968197,-0.035698075,0.48465112,0.27091756,-0.07346181,-0.10370564,-0.21230927,0.14292924,-0.030791642,0.1216099,-0.3293451,-0.06418172,0.015988285,-0.30131224,0.35223043,-0.16236779,0.0573244,0.11931405,-0.24892949,0.4364061,-0.030568074,0.0003156789,-0.0754271,-0.13599087,-0.24461925,0.31516564,-0.37711608,-0.0825983,0.106510386,-0.33303815,-0.19945535,-0.06766021,-0.34962022,0.11535354,-0.08004187,-0.1186257,-0.38141096,-0.4853148,-0.19940513,-0.038751043,-0.11678003,0.17925401,-0.19804145,0.051296115,0.21960966,-0.025678288,0.5978044
khu vực,-0.21114202,-0.19532524,-0.15642248,0.09063993,-0.124269515,0.6482694,-0.06211157,-0.37703714,-0.27524388,0.1721424,-0.17828467,-0.011876442,0.103911206,-0.0062748673,-0.029639598,-0.09475467,0.22383739,0.21805955,-0.25784,0.4420238,0.026159348,-0.0038842529,-0.64233124,-0.060757466,0.5547539,-0.20426464,0.01344142,-0.18015651,0.02753157,-0.017394176,-0.219577,-0.067311026,-0.24272074,-0.078283794,0.27308112,0.123852916,0.10687902,-0.26396897,-0.15999995,0.17440072,0.032203194,0.2855172,-0.45995006,0.0779516,0.26687875,-0.01592427,-0.370175,0.020476306,0.120988175,-0.36968976,0.23357128,0.5051973,0.26049712,-0.011464158,-0.25518477,-0.36256695,0.5752877,0.12966537,0.39613816,-0.60760665,-0.24129786,0.217199,0.3069629,-0.16868158
với,-0.21623014,-0.5215914,-0.016754277,-0.16152999,0.09295167,0.31205538,0.1102089,0.123565815,-0.51484793,0.20597519,-0.24572611,0.18353085,0.08051357,-0.2566738,-0.3450489,0.06892401,0.0037928172,0.48780456,-0.37553674,0.15804115,-0.29306892,-0.2423306,-0.17892222,-0.1888789,0.8070802,0.109956905,-0.33933425,-0.15707043,-0.1358721,-0.30033225,0.0930352,-0.0072885663,0.32650214,-0.24897471,0.367271,0.2093846,0.39220813,-0.38923824,0.14176705,0.31427577,-0.01330116,0.13696702,-0.049721643,-0.07107532,-0.39888966,0.017365627,-0.10459282,-0.16862325,-0.2605865,-0.7082966,-0.07279965,0.10473368,-0.13702522,0.015578006,-0.32812464,-0.31214985,0.515328,-0.098473676,0.02861554,-0.23758405,-0.33743975,0.02149146,0.003582872,0.14919339
nhiều,0.20593879,0.049885035,-0.15409452,0.12319888,-0.031855352,0.072302334,0.3267091,0.08359777,-0.51023525,0.5307958,0.011517852,0.16524003,0.070937514,-0.32163015,-0.16861747,-0.23752643,-0.3914917,0.5105949,-0.25438607,0.14423598,0.06345272,0.015144317,-0.18146741,0.1632725,0.72444534,0.13158476,-0.1372633,-0.1635087,0.20098595,-0.108287424,0.418896,0.068600476,-0.10886275,0.21061835,0.11436598,-0.021061704,0.2460805,-0.012971488,-0.19210018,-0.21864434,-0.22663203,-0.21707092,0.5237042,0.035781804,-0.1230879,0.10129627,-0.0501246,-0.072905794,-0.24909182,-0.6106947,0.66975266,0.35884544,-0.12579791,-0.1758328,0.00479367,-0.29854882,0.22195783,-0.2877671,0.120637424,0.065988645,-0.3356432,0.32761395,-0.021687679,0.17246744
dương,0.18720154,0.10276064,0.4447757,-0.117532596,0.32750958,0.07044315,0.019037874,-0.09648282,0.04254744,-0.23599271,-0.36435518,0.011645331,-0.170877,-0.25413182,-0.0019946503,-0.408223,-0.41320857,0.58013296,-0.159642,0.19184919,0.17665134,-0.15059681,-0.055887047,0.0052813035,0.50195354,0.062037602,0.11236028,-0.36516124,-0.103122115,-0.117413156,0.005379797,0.29817337,0.13073573,-0.07098065,0.2519455,-0.1273213,0.4638041,-0.0045716544,0.2693591,-0.21373247,-0.017240314,-0.24662594,0.21833988,-0.48450148,-0.2442542,0.1846171,-0.062191892,-0.20618898,-0.15772986,-0.38546327,0.35252103,-0.0035882653,-0.06184802,-0.3014102,-0.28622815,-0.07609862,0.18245226,-0.21081501,0.23961842,-0.06254056,-0.13891327,0.33393148,0.13675924,0.31678176
lớn,0.3931765,0.100498535,0.38272917,-0.3787492,-0.09278606,0.024157204,0.20320354,0.02217343,-0.13734092,0.36422896,-0.060800932,-0.21716644,0.19217485,0.047633216,-0.13247529,0.07714249,-0.23864968,0.6461044,0.011553589,0.46207866,0.109074935,0.2932909,-0.102599815,0.04416976,0.6726083,-0.1007933,0.21319677,0.2991255,0.19740582,0.029789763,0.2784963,-0.09464069,0.010538181,0.14158918,0.1649909,-0.0022045907,0.3175931,0.13659173,-0.1936757,0.050614413,-0.1546005,-0.33358344,0.029568072,-0.122384235,0.2841768,0.07836045,-0.26374137,-0.27648547,-0.2878188,-0.5754456,0.51773775,0.11925503,-0.008173907,-0.37230918,0.060342047,-0.19337904,0.27571332,-0.11407918,-0.15123175,0.15924744,-0.39847544,0.15557614,-0.16975299,0.22798574
