node,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
và,0.03254722,-0.07664313,0.34226584,0.052618217,-0.10595216,0.010948156,-0.34598783,-0.16877651,-0.07116808,-0.17931871,-0.22102092,-0.060355417,-0.19855109,0.08421028,-0.34957775,-0.106253766,-0.0053748963,0.30925575,-0.025891727,0.24827506,0.12313004,0.03755901,-0.28892666,0.09100623,0.15487206,0.21349931,-0.0536288,-0.06240111,-0.09442861,-0.082338445,-0.011828565,-0.17757893,0.33855346,0.17135933,0.044064865,-0.32353866,0.43949103,-0.054841712,0.09258346,0.11321646,-0.14991277,0.07908891,0.032547705,0.349406,0.07562305,0.20589986,-0.2848182,-0.14492968,-0.07689378,-0.21423583,0.6252051,0.37009716,-0.16909641,-0.30710602,0.07398965,0.04785936,0.4439024,-0.0346532,0.3547766,-0.08746536,0.019883288,0.36760148,0.0077361753,-0.003710873
bắc,0.043007426,-0.2657917,0.014304302,-0.375586,0.0380767,0.17596297,-0.05184748,-0.20717841,0.25487578,0.14089555,-0.025095113,-0.19147928,-0.21867983,-0.513384,-0.26764455,0.005864406,0.014098635,0.4139488,-0.12133783,0.15701877,0.29912132,0.002582481,-0.1857182,-0.065208316,0.12848535,-0.12989703,0.23717944,-0.1239317,-0.22554536,-0.014302613,0.30259466,0.24810486,0.0090623805,-0.056290448,0.011244685,-0.042114265,0.545875,-0.34675157,-0.5464367,0.006280915,0.1209681,-0.0875345,-0.1876157,-0.10432325,0.27417624,0.49665102,0.0007780595,-0.15030463,-0.2586835,-0.42063773,0.13728751,-0.08858676,0.051626123,-0.12657203,-0.12944049,-0.31189126,0.009594326,-0.17522061,-0.16037841,-0.3546154,-0.033746414,-0.0025258563,0.19360167,0.29367772
của,-0.19103345,-0.28266072,0.59219843,0.14024955,-0.2168619,0.39178932,0.1470687,0.1802674,0.0022918177,0.1209629,-0.4025461,-0.2921516,0.24166033,-0.15376048,-0.3788855,-0.2132934,-0.15763792,0.52067167,-0.23981547,0.30565992,0.12886204,-0.29291168,-0.03111936,0.021469638,0.44547358,0.028153514,0.10396839,-0.051588804,-0.019589286,-0.063597985,0.33897546,-0.011087168,0.2989906,0.47911036,-0.015429847,-0.048389688,-0.19844194,0.06388031,0.2194639,-0.13514344,-0.23387532,-0.07397869,0.03221332,0.1403586,-0.26916316,0.18417959,-0.040517956,-0.032741845,0.17530577,-0.4404467,0.275337,-0.12982614,-0.085622475,-0.09294527,-0.22570606,-0.012688317,0.12198553,-0.016297119,0.22827,-0.586704,-0.47080842,0.15474236,0.1201577,0.32264307
băng dương,0.16020618,-0.21515425,0.11828703,-0.6558315,-0.13095458,0.21446083,-0.28758848,-0.12048566,0.033829093,0.16538529,-0.19951132,0.08886368,-0.41512057,-0.54984146,-0.08955703,0.24189964,-0.08467038,0.30373958,-0.21906933,0.24622405,-0.0029622647,-0.016838506,-0.13108867,-0.17176966,0.11465709,-0.107629426,0.20121427,-0.10798563,-0.342756,-0.13021588,0.503972,0.32592362,0.107890815,-0.08014943,-0.015464715,0.046071384,0.43927717,-0.35107934,-0.28455144,0.09022248,-0.0062143286,-0.19559693,0.00032502896,-0.2111847,0.27675873,0.4508746,-0.04910443,-0.19885162,-0.15757912,-0.3581632,0.2683519,0.17405006,0.040325545,-0.03830977,-0.017004788,-0.12372327,0.5883541,-0.38072053,0.016513404,-0.5752616,-0.056393072,-0.21359587,-0.07410178,0.20684919
cực,-0.22540836,-0.36790517,0.27525252,0.09463106,0.14460586,0.039035875,0.047516134,0.059215423,0.30819675,0.122606784,-0.09189359,-0.12510219,0.11952319,-0.59989643,-0.2111206,-0.21987687,-0.29978558,0.5383167,-0.31965932,0.012569257,0.2443533,-0.35577872,-0.09731354,-0.20872107,0.31081507,-0.3718407,0.15725847,-0.031910244,0.24550879,0.101178266,0.13245352,0.12614095,-0.076043226,0.21379295,0.33105317,-0.054441594,0.33743507,-0.15214533,-0.4377229,0.06093877,0.0058190073,-0.024906427,-0.3172364,-0.049917966,0.055092692,0.39573422,-0.05092505,0.09891628,0.038976926,-0.43103123,0.25980085,-0.2153834,0.0047607105,-0.05308617,-0.3834612,-0.2886519,-0.20602795,0.030494798,0.10278535,-0.22823153,-0.15813026,0.27033484,0.30284217,0.3206068
là,-0.11250323,-0.44823125,0.6441159,-0.27004978,-0.2088716,0.010940418,-0.06424265,-0.27650127,0.014867223,0.20247737,-0.28791583,-0.38794875,0.22765708,0.3372541,-0.30551872,0.3493433,-0.037729215,0.6663956,-0.37969008,0.3321404,0.1277061,-0.13319716,-0.007129083,-0.014215162,0.43736485,0.10663449,0.232416,-0.044979878,-0.21693225,-0.06630954,0.33315775,0.14394923,-0.026528282,0.39735946,0.38856483,-0.12728868,0.08158139,-0.32460818,0.031616706,0.13519782,-0.14350647,-0.15434298,-0.38445538,0.12713778,0.33462423,0.5865861,-0.27818266,-0.3554666,-0.1194005,-0.12375744,0.26444834,-0.07520499,0.095467776,-0.103210695,-0.29522696,-0.34868985,-0.031064166,-0.12321266,0.07334709,-0.16667776,0.1035979,-0.10352946,0.12879856,0.1515863
với,-0.46227464,-0.04941379,0.45383525,-0.082502834,-0.17021431,0.41822588,-0.39148763,-0.30262578,-0.24327919,0.09295457,0.12295228,-0.38611397,-0.5942206,-0.18484066,-0.4794877,-0.27546293,0.15533641,0.3033439,-0.18319565,0.7141296,-0.18483303,0.108734295,-0.04152829,-0.2283285,0.56758344,0.08941286,-0.21967594,-0.45683458,0.01979104,-0.42372,-0.12188593,-0.14467485,-0.4073771,-0.16089049,-0.013937485,-0.20053008,0.24712698,-0.11223882,-0.288977,0.16235286,-0.13087182,0.19294049,-0.09257322,0.26883155,0.42341822,0.37212172,-0.5038752,-0.1036666,0.21079339,-0.5425028,0.13969013,-0.3772449,0.15376231,-0.3463504,-0.45817754,-0.3695256,0.47055346,0.050687104,-0.0058097676,-0.55092824,-0.11393422,-0.07356882,0.04259092,-0.068330765
này,-0.35060072,-0.382727,0.29517013,0.07315796,0.048634555,0.20411143,-0.4611828,-0.3501167,-0.4000626,0.29314035,-0.26334068,-0.20621453,-0.03028687,-0.43003485,0.10531584,0.020936782,0.04843617,0.38285682,-0.34119835,0.31054553,-0.086211644,0.07990437,-0.06321977,-0.15101795,0.011061979,-0.1797121,0.07061731,-0.1446395,0.29083097,0.08586965,0.12508537,-0.029119795,-0.14049368,0.07838927,-0.11074764,-0.06798653,0.393167,-0.21423402,0.091609,0.15743549,-0.01800019,-0.11992904,-0.016772544,0.29965115,0.33896434,0.22108859,-0.056128003,-0.058491994,0.2281689,-0.41814336,0.5320209,-0.25935102,0.11441847,-0.08083736,-0.37632093,-0.26734897,0.08292247,0.30664113,0.43808493,-0.24915221,-0.015900671,-0.29545993,-0.079211414,0.04592425
các,-0.2590041,-0.071058355,0.08230555,-0.09170687,0.15886714,0.13876706,-0.3801391,-0.22387737,-0.18602277,-0.20014937,0.03952887,-0.38018844,0.017158762,-0.50307524,-0.10051112,-0.5072419,0.20398504,0.40291795,0.061613534,0.072003014,0.0871539,0.0039659105,-0.0016983644,-0.21766432,0.18671192,-0.16507497,-0.32198477,-0.6551831,0.14018987,-0.2278859,-0.23608054,-0.16648188,-0.3750849,-0.50780725,0.0142525155,-0.117000535,0.30823678,0.037667394,-0.17997876,-0.2501234,-0.031922,-0.05507412,-0.06681575,0.14066422,0.55649626,0.3773445,-0.07351809,-0.12567843,0.20316054,-0.39433706,0.38406345,-0.1269875,-0.011409349,-0.14838628,-0.4273089,-0.42268023,0.45092717,0.12642287,0.3004581,-0.3853909,-0.17707983,-0.11914266,0.055423703,-0.17217892
lớp,0.42778194,-0.03117486,0.35549772,-0.3545549,-0.44097394,-0.09650023,-0.08998593,0.033346742,-0.005837812,0.102094874,-0.23219267,-0.23879322,0.102560505,0.10207431,-0.23220438,-0.08462519,-0.31722352,0.86166817,0.07794481,0.24360912,0.44879654,0.16638829,-0.34027964,-0.007063545,0.04019271,0.35241753,0.11849222,-0.31086946,-0.35765588,0.0136002675,0.0062303673,0.1144401,0.1511357,0.16581859,-0.11016261,0.14479016,0.20483008,0.15186056,-0.06119231,0.102949835,-0.29234222,-0.699591,-0.21320115,-0.3519725,0.33437556,0.0810239,-0.060453657,-0.29177144,-0.28477374,-0.41765293,0.072083354,0.16221505,0.0378765,-0.13049127,-0.20782949,-0.18620197,0.03721897,-0.3774165,-0.44094223,-0.44814065,-0.0347957,-0.282747,-0.166174,0.31940725
