node,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
và,-0.11064708,-0.07782303,0.38216364,-0.07025955,-0.15715587,0.4021957,-0.36453113,-0.20340623,-0.13669577,-0.17900313,-0.01500374,-0.049509294,-0.17843106,-0.23038265,-0.1271576,-0.19598907,-0.024721395,0.13625821,-0.0013727677,0.21918952,0.07195378,-0.12668388,-0.26921248,-0.12130325,0.43185535,0.02958774,-0.110322244,-0.170256,-0.24227904,-0.25588906,-0.108101994,0.16243863,0.019662704,0.033562273,-0.022771312,-0.15633571,0.23634297,-0.09409661,-0.1306908,0.15530664,-0.24990341,-0.036916237,-0.06620565,0.16936496,0.038667772,0.17308144,-0.14141986,0.074441664,-0.081101745,-0.13646188,0.26084268,0.29409426,-0.24203959,-0.16318674,0.027250124,-0.18102777,0.37802124,0.093359925,-0.024324853,-0.28930113,-0.14379513,0.16494435,0.056470778,0.17822547
của,0.08495627,-0.021792179,0.52891946,-0.18729402,-0.23786272,0.13972759,0.09956943,-0.11998885,0.0044747316,-0.10571192,-0.11583386,-0.4631503,-0.070890866,-0.14092925,-0.17267093,-0.23829187,0.26854303,0.06829538,-0.11425164,0.26956415,0.07630626,-0.123491466,-0.0137913255,-0.08839996,0.11710311,0.027767684,-0.010232284,-0.060476545,-0.25575542,-0.01090944,-0.093667164,0.033790633,0.11887686,-0.087638475,-0.0152149135,-0.33823672,0.22500145,-0.15191019,-0.08553929,0.18982576,0.22193508,-0.006460689,-0.3588581,0.2291678,0.5857663,0.2150145,-0.08632555,-0.15006725,-0.19242592,-0.23205961,0.12631953,0.45157433,-0.30450112,-0.24907975,-0.09215347,0.10087605,0.3514846,-0.016979273,0.060840663,-0.21516572,0.013625722,0.46640673,-0.33740377,-0.026227828
đại dương,-0.13797106,-0.023454644,0.26802263,0.11752613,-0.31854072,-0.092774905,-0.02362879,-0.063208014,0.23960485,-0.07488639,-0.0010297289,-0.45160225,-0.06790494,-0.18451548,-0.45947233,-0.33889717,0.07601913,0.17305584,-0.058809143,0.2671245,0.1153464,-0.054469638,-0.11557357,-0.1568506,0.38591716,-0.14175832,-0.1596351,0.2958106,-0.29779392,0.053159468,0.07485335,-0.15034762,0.026770491,0.04772054,0.06322403,-0.09453073,0.22440405,-0.033850964,-0.16315776,-0.16806854,0.05055202,0.1340223,-0.3998738,0.35853833,0.23351449,0.09995643,-0.22905616,0.020903569,-0.1611341,-0.4448575,0.0574344,0.5085633,-0.0709444,-0.11835232,0.29609686,-0.15769452,0.11361589,-0.03808668,-0.106499456,-0.2999139,-0.47539502,-0.13179114,0.46682093,-0.2797924
là,-0.1954733,0.042610064,0.6450543,-0.24242407,-0.24794984,-0.024087215,-0.1246089,-0.24356835,0.19865543,0.020700114,0.028161747,-0.4824664,-0.22837642,-0.3539816,-0.010181322,-0.226658,-0.034106437,0.25811338,-0.07664193,0.0049776533,0.39215907,-0.11782382,-0.017970236,-0.3025155,-0.22282144,-0.10620201,-0.1401633,0.097876884,-0.48353046,0.34201,-0.0493079,0.064359404,0.3022714,-0.28036743,-0.06655528,-0.2180814,-0.12313946,-0.1096757,-0.122282445,0.313626,-0.12975614,-0.033280388,-0.006102886,0.18584155,0.5331809,0.026308428,0.06300085,-0.10895387,-0.3561115,-0.36534548,0.11529637,0.39261726,0.16876575,-0.13508768,0.09289703,-0.031511962,0.07703343,-0.29278666,0.37297016,-0.40484402,-0.4119601,0.08485736,0.16525872,-0.061289035
khí hậu,0.3122949,-0.22911058,0.19812924,-0.13252403,-0.2386081,0.055007394,-0.0028922441,-0.2621159,0.07774803,-0.26145947,-0.33069795,-0.6023595,0.41139477,-0.03613641,-0.7159096,-0.45668685,0.13679513,0.22697015,-0.5174213,0.20892863,-0.014997566,-0.00028167074,-0.22720872,-0.18824162,0.10955434,0.004981201,-0.12357888,0.13601464,-0.02831369,0.3745149,-0.21671908,-0.08567953,-0.3544595,-0.21606202,0.2655537,0.1154885,0.10823962,0.07800004,-0.33167475,0.06940181,0.22680709,-0.11603927,-0.4688821,-0.0693178,0.18084876,0.55879825,-0.085756145,-0.049302857,0.14174345,-0.4203352,0.5421723,0.103347495,0.1922133,-0.36748075,-0.15322313,-0.24020159,0.23235129,-0.06562897,-0.18544634,-0.0033793864,-0.026724363,0.052362517,-0.2590053,0.105802186
nam,0.23855345,-0.37203577,0.04718483,0.2073752,-0.2990311,-0.0015778829,-0.043824345,-0.3712118,-0.1293215,-0.16048153,-0.014879154,-0.58545554,-0.089431204,-0.071971044,-0.26127252,-0.2834958,0.354394,0.32636288,-0.38685277,0.18747616,0.39201415,-0.15189904,-0.26961195,-0.11576758,0.17701939,-0.16647322,0.03383697,0.33825737,-0.20643263,0.37945378,0.097623006,-0.40568602,-0.21137673,-0.007769996,0.25418898,0.09235636,0.017814366,0.086475916,-0.1796534,-0.17873141,-0.081502184,-0.13289627,-0.07854436,0.483197,-0.038980145,-0.054501895,-0.30734974,-0.12427652,-0.19972937,-0.31699032,-0.05187247,0.58545786,-0.17294009,-0.11864316,-0.07332108,-0.2885579,0.1421963,0.258193,-0.057835408,-0.51895964,-0.41388556,0.3005635,0.36978388,-0.20440045
với,-0.154215,-0.14631668,0.14720248,0.07494654,-0.08384582,-0.018258475,-0.13663282,-0.19528086,-0.26598412,-0.30282784,-0.28424317,0.08768306,-0.15948097,-0.049365643,-0.486745,-0.15775211,-0.21140558,0.60211074,0.090640344,0.15499313,-0.05903729,0.17908214,0.060632695,0.24524535,0.41944817,-0.05875247,-0.41665292,0.03212744,-0.07695627,-0.14981115,-0.034962047,-0.052074984,0.16996321,0.11607699,0.1868077,0.13895741,0.35137108,-4.9978145e-05,0.38439536,-0.17208035,-0.5529027,0.17832513,0.0055056517,0.50790256,0.20427614,0.13766442,-0.6508659,-0.07975143,0.2317424,-0.4873498,0.022715103,0.2631132,-0.2521479,0.012273864,-0.0058458494,-0.2599246,0.39858264,0.07263593,0.24707976,-0.26806706,0.16770555,0.26572785,0.5541825,0.17843182
lớn,-0.28557867,0.03653258,0.72143763,0.0037893069,0.1159148,0.09277189,-0.28250545,-0.036935184,-0.07704672,0.21401298,0.038828257,-0.45716193,-0.08132236,-0.0067171296,-0.37743777,-0.21297882,-0.49821666,0.79348946,0.124569565,0.14116363,-0.005441865,0.35256016,-0.12655051,-0.17087643,0.16331884,-0.09119546,-0.32165074,0.080679454,-0.13185361,-0.20686026,0.08975283,0.11201648,-0.10860104,-0.03453247,0.15724401,0.27192965,0.2028211,-0.36455953,-0.10982189,0.002467976,-0.26325464,0.18037587,-0.07378554,0.3760647,-0.0008020528,0.05052247,-0.1685358,-0.18968314,-0.024469126,-0.5627333,0.3953188,0.24624045,0.12664342,-0.25222954,0.33008558,-0.1543846,0.022889819,0.25245,-0.20706202,-0.5785344,-0.113794886,-0.22141248,0.33217308,0.5327281
nhiều,0.11062341,-0.21050733,0.53261465,-0.12907284,-0.30013505,-0.29329228,-0.10622794,-0.5787551,-0.33739612,-0.29588315,-0.56813926,0.04062995,0.0173043,-0.21953183,-0.23836294,-0.39789695,-0.07102185,0.20256633,-0.44799823,0.00865168,0.075549245,-0.05718576,-0.061552774,-0.29624903,0.24660589,-0.19801208,-0.11643378,-0.2262773,-0.20660198,-0.25993785,-0.1981538,0.24300776,0.44302124,-0.017468328,-0.27914366,-0.04397944,0.3852188,0.4818894,-0.2194874,0.4166695,-0.27831388,-0.40698254,-0.44011807,-0.26196268,0.31047788,0.15879652,-0.115086295,-0.2036958,-0.18338923,-0.33153662,0.38724965,-0.28101978,-0.21883593,-0.15596606,-0.005365828,-0.46115863,0.2671009,-0.38088363,0.5693354,-0.10986785,-0.44977263,-0.08282312,0.22697172,-0.08787122
đây,-0.18010688,-0.16743754,0.57260114,-0.20501669,-0.42203593,0.15688376,-0.46577978,-0.6860716,0.30455172,-0.00073164224,-0.23132901,-0.56169885,0.22733809,-0.4414166,-0.07748076,-0.1492253,-0.8685638,0.8456475,-0.25766745,0.3233145,0.24468157,-0.06671449,0.0010146399,-0.24574167,-0.14716472,-0.22747989,0.15200952,-0.07083956,-0.017329756,0.25263733,-0.28599185,0.35358775,0.012346774,0.20334566,-0.010667078,0.25814682,0.8672375,-0.20212586,-0.25778314,0.41022292,0.24842335,-0.23801427,-0.41194898,-0.41081268,0.10613205,0.26760337,-0.11392232,-0.26553637,0.32462406,-0.14855,0.44098544,0.02425889,0.060957767,-0.13397418,-0.035869572,-0.24819556,0.3726102,-0.4804749,0.33902085,0.2531658,-0.36333328,-0.43101686,0.066504344,0.5278777
