node,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
là,-0.22706194,-0.2427074,-0.085286796,-0.009205327,-0.01892698,0.03831176,0.016738212,-0.008168713,-0.048459474,-0.015479529,-0.12680441,0.043922797,0.23575215,-0.16563004,-0.17460725,-0.16846259,-0.31481174,0.56873494,0.08668409,0.080788635,0.33876976,-0.45202285,-0.15880595,0.08329008,0.025886374,-0.136297,-0.121428855,-0.12674241,-0.055954505,0.044656303,0.052198403,-0.05990511,-0.0048050205,-0.20294353,0.23798126,-0.1965148,0.4497592,-0.10441975,-0.22619951,-0.033948157,-0.2906275,-0.124757335,-0.28345084,-0.08581058,-0.18183321,0.09985574,-0.120529786,-0.1681433,-0.22114766,-0.30736995,0.20171344,-0.033842206,-0.17402129,0.027483886,-0.06278996,-0.095479205,0.33180994,-0.17592561,-0.2520397,-0.277448,0.1458444,0.16432121,-0.0058317548,0.45574272
những,0.117963545,-0.15565372,0.45502666,-0.13581537,0.14678577,-0.04000252,0.22051023,0.091787264,-0.1639359,0.18465881,-0.30694962,-0.26899,-0.050965294,-0.017466022,-0.19761021,-0.061935656,-0.06489426,0.35147086,0.1030661,0.33010042,0.2777682,0.017156592,-0.22636066,0.041656405,0.0629827,-0.030177297,0.077142425,0.19208649,0.28567636,0.22399,-0.020510565,-0.04487774,0.09418709,0.17161119,-0.10130214,-0.013170452,0.4875845,0.054459415,0.0725992,-0.0711006,-0.12434455,-0.19963406,-0.007315892,-0.01541553,0.06464133,0.230184,-0.08948688,-0.20318279,-0.36089852,-0.03614207,0.26153943,0.43061885,-0.21041025,-0.04106631,-0.23639765,-0.044045445,0.27226683,-0.09586207,-0.079668336,0.19054544,0.0017958783,0.29933485,-0.023525126,0.39689636
và,0.11913472,0.13038597,0.6384114,0.05035467,-0.10953949,-0.112381436,0.17319705,0.07393429,-0.17751312,0.040256836,-0.4080454,-0.46662265,0.14414689,-0.3161354,-0.34975922,-0.38112646,-0.04227955,0.62924325,0.10496211,0.5069617,0.17337155,-0.16483057,0.03906067,-0.26140153,0.0659776,-0.24342708,0.017071044,0.15604015,0.11395385,0.2470632,-0.24071565,-0.26721787,0.26817453,0.13763574,-0.011256842,0.10211912,0.36560097,0.16931857,-0.22139609,-0.16545264,-0.24210742,-0.1501657,-0.059070516,0.21026261,0.3351958,0.16560234,-0.19398586,-0.12533557,0.087024175,-0.18747701,0.23270345,0.31228304,0.076022744,0.009208161,-0.11508793,-0.25463548,0.36497182,-0.21189374,-0.31872916,0.059649695,-0.16052613,0.14023417,-0.08956634,0.5028645
của,0.06201446,0.08157385,-0.038546707,0.088157624,-0.10195833,-0.18267684,0.03848367,0.23281072,0.03322418,-0.024523197,-0.53753465,-0.1036485,0.25048852,-0.31721827,-0.50433475,-0.36306018,-0.04353806,0.7025532,-0.1596632,0.15557449,-0.006339175,-0.3141305,0.004292749,-0.43994808,0.056754496,-0.3647842,-0.19399971,0.050905105,-0.35636765,-0.18277164,-0.05732246,-0.15691093,-0.09225289,-0.2504427,0.411634,0.000978288,0.17569143,-0.0972839,-0.43768278,0.13093106,-0.17027448,-0.041003752,-0.043656603,0.5092586,0.25450897,-0.11656589,-0.20116843,-0.10706678,0.18083425,-0.6269462,0.115763426,0.23618864,0.0198298,-0.30372518,-0.26650706,-0.2859531,0.34317034,-0.40755877,0.052467223,-0.14570305,-0.2875721,0.30859894,-0.35282475,0.070593886
núi,0.012905166,-0.21438488,-0.17959714,0.060470965,0.39295632,0.028775329,0.21084438,0.09187647,0.20561188,0.122392595,-0.3674889,0.10295525,-0.1483624,0.112185575,-0.15820538,0.039028805,-0.22850163,0.5806835,-0.027955152,-0.16927002,0.12436463,-0.24053045,-0.40402007,0.010460924,0.2535576,-0.24320613,-0.21464735,-0.05340801,0.02796959,-0.25827447,-1.0672833e-05,0.2388155,-0.15401147,-0.25097734,0.34500483,-0.38157827,0.6079576,-0.14450455,0.004164502,0.30399588,0.12675223,-0.12909487,-0.23324496,-0.12469488,-0.3116632,0.09310692,-0.22544715,-0.3237121,-0.36165765,-0.26889887,0.4045641,0.41242713,-0.19118734,-0.21549554,-0.34340435,-0.04517286,0.20127057,-0.35104778,-0.17106512,-0.024808606,-0.17646909,0.64381766,0.19463226,0.13088575
ta,-0.2920735,-0.36040306,0.22236368,0.29686302,0.45794472,0.008315865,-0.086420015,-0.024231095,-0.16727255,0.08334766,-0.0641409,-0.23598897,-0.06453961,-0.24505329,-0.025581885,-0.14269516,-0.07805191,0.5439177,0.07905091,0.09397666,0.19807534,-0.031441085,-0.13387126,-0.1408308,0.16425501,-0.36121252,-0.0961241,-0.04945996,-0.07741206,0.09128258,-0.061805293,0.16285211,-0.2330054,-0.011747522,0.06856864,0.060423333,0.2874566,0.08736404,-0.14418632,-0.17845435,0.03390449,-4.0559753e-06,-0.024055472,0.21545625,-0.10350821,0.49873295,0.20424223,-0.3431691,-0.16930987,-0.09376041,0.40856633,0.26601738,-0.20483518,0.020517167,-0.20220344,0.10951386,-0.27031747,-0.5017338,-0.010030161,0.24306436,-0.28834662,0.35670012,0.29682583,0.24528456
nước,-0.18933608,-0.50283664,0.32608795,0.060079604,0.31003922,0.12764664,-0.08973355,-0.16738407,0.020477433,0.21251279,-0.20806798,-0.12859826,-0.3543181,-0.060430363,-0.11787198,0.1331439,-0.40031725,0.7509478,-0.015103783,0.01298154,0.2633499,-0.17804307,-0.038139362,0.1824323,0.104702726,-0.21572267,-0.12351377,0.10831869,0.03743114,0.0024090777,-0.18700068,0.21920736,0.12412932,0.12447818,0.020262439,-0.2229314,0.5798833,0.2615153,0.03951138,0.14551544,-0.08556285,-0.22068217,-0.16742574,-0.18577896,-0.36323228,0.2662599,-0.36598128,-0.43368727,-0.25816646,-0.07057451,0.33807817,0.22904249,-0.042328145,0.05100891,-0.25831485,-0.20605047,0.07193565,-0.15347964,-0.12847173,0.093771026,-0.17278373,0.2439526,0.36104202,0.5037832
pu,-0.10030929,-0.078533426,0.2609429,0.3012052,0.18389076,-0.022565084,-0.21518093,-0.063209556,-0.34327602,0.080217995,-0.12717557,-0.33723098,0.14755002,-0.38185593,0.0421691,-0.39287582,0.06355165,0.5746218,0.10699202,0.30463013,0.15394647,-0.04860437,-0.33619344,-0.2860478,0.07373747,-0.24424066,0.109214984,-0.2257341,-0.027139414,0.37304914,0.013579118,-0.07635355,-0.39425638,0.06787785,-0.11388084,-0.0024750168,0.14713496,-0.20161295,-0.08823493,-0.26333007,-0.052430265,0.03499217,0.059831247,0.26476955,0.32987484,0.58215135,0.4504672,-0.35634673,-0.08477916,-0.12521328,0.37227952,0.037449796,-0.3758532,-0.10746721,-0.18380256,0.17197166,-0.08116919,-0.41624495,0.06310695,0.115820445,-0.16009274,0.25173888,0.15507187,0.24166012
con người,0.41059303,0.39038044,0.4942818,0.08122562,0.0141741065,0.30306515,-0.09825258,0.34834486,0.20245561,0.29830888,-0.47615132,0.1815359,-0.2900679,-0.30916902,0.033119757,-0.49916318,0.132703,0.541364,-0.24295285,-0.0058229556,-0.21805343,-0.2627731,-0.14459798,-0.3748351,0.18384789,-0.020936245,0.05164489,0.21569154,-0.10537081,-0.18566787,0.15573879,-0.47054595,-0.22513351,-0.10482081,0.20712465,0.08883612,0.04604421,0.19187745,-0.35250914,-0.1729495,-0.3750164,0.07515175,0.34194425,0.23666742,0.5570309,0.3317842,-0.25675607,-0.067994826,-0.18712,-1.1158682,0.033428796,-0.1298908,0.043334328,-0.15022698,-0.7321335,-0.3299917,0.326471,0.015546912,-0.022028912,-0.4742439,-0.02955599,-0.009778546,-0.23721918,0.23342443
rừng,0.16430391,-0.3944783,0.6195737,-0.34101126,-0.104659244,0.3304563,-0.35171738,-0.20742778,-0.085962944,0.39301613,-0.317055,-0.26831216,-0.4627019,0.010252144,-0.19704945,0.15875766,-0.56954473,0.7079334,-0.23608367,-0.025727063,0.4466875,-0.24941655,-0.203804,0.21438645,-0.14980742,0.05437819,0.097267605,0.2172027,0.026057163,0.13178898,-0.1432934,0.038800545,0.052647438,0.3639769,-0.16252786,-0.29663834,0.5678465,0.17604332,0.093825564,0.35642293,-0.28725627,-0.30057815,-0.23159048,-0.19168635,-0.19679661,0.25666592,-0.4681141,-0.3853451,-0.4131775,-0.3082372,0.14603204,0.22619529,-0.08062197,0.035645735,-0.30412278,-0.17340825,0.16620854,0.2863347,-0.07860339,-0.19822942,-0.06997109,-0.10180705,0.076926656,0.55962616
đường,0.12756048,-0.13486138,0.49450144,-0.20105384,0.29376602,0.08418355,0.26981467,0.06310178,0.11462111,-0.0002241482,-0.47019735,-0.19843191,-0.23321362,0.3956632,-0.4123141,-0.0149551025,0.038080066,0.6732432,-0.104336336,-0.07446921,0.12293154,-0.05298955,-0.13609952,0.29313642,0.054166235,0.030404551,-0.15363882,0.16348816,0.119397655,-0.19453476,-0.216271,-0.14895467,-0.03359315,-0.23715357,0.32861716,-0.3202261,0.5425299,0.13577092,0.39527413,0.36968115,-0.042269565,-0.19957763,-0.06930903,0.18257372,-0.2197721,0.033982534,-0.2822638,-0.6365531,-0.6544006,-0.081216566,0.27968752,0.6407903,-0.32888654,0.06824809,-0.51892054,-0.028906683,0.11981977,0.060569275,-0.09342569,0.18938051,-0.31997398,0.6431129,0.09690072,0.39683184
leng,-0.3349514,-0.340672,-0.15531169,0.1807806,0.29515868,-0.0041679298,-0.06873965,-0.03749367,-0.28193867,0.041667227,-0.16071045,-0.12034687,0.38175756,-0.5575706,-0.012733198,-0.23129173,-0.103562415,0.679752,0.09273734,0.28018716,0.33872724,-0.15211625,-0.25497714,-0.26258963,-0.00027134802,-0.37294888,0.023682918,-0.22690873,-0.24905163,0.3847809,0.14687157,0.09875387,-0.32735497,0.007878955,0.1186887,0.22224906,0.19892801,-0.2798973,-0.20773444,-0.3641696,-0.030336685,-0.16157332,-0.10163039,0.19646415,0.05312278,0.42698374,0.49498785,-0.3268039,-0.0614211,-0.3486856,0.32262373,0.04765502,-0.22880207,-0.18907718,-0.32997227,0.110827774,-0.049706962,-0.63265693,0.3049034,-0.04591358,-0.11143366,0.31171268,0.19842339,0.22278562
trong,0.13611656,0.004737905,0.23977382,-0.053811267,0.15023051,-0.0012688738,0.02674276,-0.076179706,-0.17288278,-0.11374401,-0.5712104,-0.05487317,-0.054970555,0.05895838,-0.5257583,-0.30568096,0.004315986,0.37311542,-0.2750659,-0.25775483,0.074081026,-0.12829992,-0.111981586,-0.1950632,-0.012881587,-0.13563943,-0.4141812,-0.06650057,-0.07818097,-0.087427616,-0.1846356,0.1121133,-0.27926055,-0.31689095,0.3026582,-0.1462021,0.28541887,-0.030689549,0.18865463,0.2833772,-0.1711579,0.048354916,0.06217548,0.54392636,0.24453682,-0.07494384,0.093437426,-0.26455224,-0.17325525,-0.42989466,0.33453923,0.4355193,-0.2982836,-0.036654823,-0.3711724,-0.014299504,-0.044765558,-0.11349179,0.13578711,0.25886747,-0.15954213,0.3675688,-0.4729553,0.05265849
người,-0.030752877,-0.09946096,0.5441114,0.024232063,0.2840162,-0.0021263459,0.08641249,-0.062447622,-0.4786328,0.19305417,-0.20215304,-0.43311313,0.24763246,-0.46373975,-0.08399373,-0.39516374,-0.061342217,0.41661903,0.1822851,0.4906039,0.32063812,-0.05285384,-0.24129526,-0.2701593,-0.02230657,-0.2014316,0.13225693,-0.024176603,0.1570637,0.69880664,-0.03289683,-0.03163259,-0.025893005,0.15835792,0.005848989,0.2861305,0.37064892,-0.20899156,-0.10859432,-0.41730642,-0.21408121,-0.20007645,0.1106484,0.23163137,0.33907095,0.4053695,0.3192997,-0.17564209,-0.20051579,-0.16807081,0.31546596,0.22631842,-0.08348027,0.11417725,-0.26524153,0.028235015,0.09549901,-0.37213188,-0.1535166,0.19366114,0.048775595,0.1900932,0.05755962,0.46472642
thiên nhiên,0.35401163,0.08280048,0.51303774,0.08200568,0.10891356,0.29442066,-0.116895005,0.35495883,0.0023379556,0.5653813,-0.28423128,-0.22021356,-0.35039774,-0.20536667,0.29556102,-0.17070255,0.08067403,0.46616787,-0.033215847,0.46208033,0.097066686,0.052373238,-0.50167054,-0.06347681,0.1672004,-0.014753669,0.5095081,0.29562277,0.10122052,0.24848522,0.22348973,-0.3774595,-0.27719125,0.42083576,-0.3461443,0.0042986586,0.22039577,0.12463267,-0.16552891,-0.22675078,-0.11283748,-0.16200505,0.15533979,-0.08240295,0.30906782,0.6896134,0.005175024,-0.30300763,-0.50389415,-0.4404485,0.18599142,0.11189695,-0.21229774,-0.25516814,-0.59850574,-0.10133218,0.22304288,-0.18148465,0.056225598,-0.08408655,-0.057571266,0.13774624,0.31784862,0.32359993
được,-0.19186583,-0.32653898,0.22633092,-0.084531166,0.2099487,0.068315655,0.007941121,-0.10637618,-0.52707833,0.15638916,-0.119653,-0.36287615,0.44641975,-0.49002817,-0.23712832,-0.3640649,-0.22676025,0.40959188,-0.03619322,0.26507902,0.38281396,-0.15259473,-0.15062854,-0.32234636,-0.12265159,-0.31188267,-0.014561694,-0.1403501,-0.32628024,0.581809,0.04076058,0.028948966,-0.20430838,-0.08349149,0.21949744,0.27651542,0.24850164,-0.29390717,-0.23035657,-0.39550152,-0.2949771,-0.26079482,-0.032047253,0.5486755,0.08770131,0.31670636,0.46624038,-0.14487936,-0.20791346,-0.4317197,0.27987164,0.2504036,-0.120373175,0.1454215,-0.18098174,0.19199209,-0.10363603,-0.49730256,-0.058430504,0.095140666,0.02584189,0.060597192,-0.07148715,0.44485188
ngọn,-0.09629473,-0.17749223,-0.59531224,0.15283842,0.31260005,0.013478653,0.28374422,0.030302363,0.206017,0.13427179,-0.46818653,0.20599411,0.16732746,-0.15959947,-0.06426417,-0.0082953125,-0.24571468,0.87099296,-0.033752322,0.020084627,0.19439034,-0.50190115,-0.5942924,-0.07982316,0.3205928,-0.4368505,-0.12329886,-0.23547275,-0.14156185,-0.23553772,0.107334465,0.20362666,-0.27731973,-0.31777948,0.45782477,-0.42639747,0.63293993,-0.47157994,-0.16716924,0.29997984,0.2390295,-0.17409007,-0.40478846,-0.18343754,-0.27903527,0.052891836,-0.087736145,-0.40896472,-0.26385006,-0.408656,0.48413837,0.27238837,-0.23278168,-0.4512752,-0.36148566,-0.1344398,0.5367614,-0.6089712,-0.09365192,-0.3130223,-0.20384724,0.7844889,0.3194953,0.11047876
dãy,0.2230921,0.0529458,-0.122214034,-0.031495415,0.18301465,-0.0028503013,-0.06254754,-0.16180265,-0.2524331,0.037378278,-0.60197634,0.118700154,-0.032666713,0.01983597,-0.4535132,-0.35235512,-0.1170686,0.39347652,-0.20765823,-0.47918004,0.2077646,-0.37558433,-0.4863804,-0.3658609,0.1216265,-0.30228588,-0.5469982,-0.38245362,-0.15054709,-0.15728006,0.048211984,0.26839843,-0.50296134,-0.60841703,0.326316,-0.54042435,0.34478372,-0.34938827,0.13962696,0.34956905,-0.24942061,0.068297476,-0.1255408,0.44411644,0.24296935,0.051155258,0.26450133,-0.23321052,-0.23099321,-0.6267563,0.5240334,0.25749,-0.34674555,-0.16951418,-0.23500684,0.10092537,0.0027458044,-0.18043573,-0.14783216,0.0026239788,-0.04071167,0.4557326,-0.607728,-0.015172397
hành trình,-0.07251607,0.15094769,0.29746652,0.39813647,-0.080571465,-0.13013041,-0.09157941,0.2608022,-0.026489075,-0.056999523,-0.098766536,-0.20710999,0.12750944,-0.35194936,-0.14772364,-0.58159924,0.05870205,0.7198733,0.327025,0.3871276,0.15230744,-0.26901478,-0.24557498,-0.28885728,0.19333597,-0.20016982,-0.004819408,-0.16921528,0.14759207,0.07288117,0.02847844,-0.3338551,-0.10461064,-0.1402899,-0.085300595,-0.05564408,0.21810727,0.059771463,-0.41369757,-0.32656902,-0.2921321,0.13708574,-0.013922858,0.10795399,0.2808669,0.48551255,0.06935862,-0.13739993,0.0048727295,-0.3112779,0.18057217,-0.07011173,-0.21715702,-0.04982341,-0.082537055,0.03778272,0.22693248,-0.22415175,-0.34984905,-0.18256879,-0.081549905,0.18421803,-0.08942746,0.41156876
vào,0.43291837,0.14311236,0.67571414,-0.118558854,-0.17066339,0.4301164,-0.2569766,0.23551247,0.02518721,0.61119795,-0.33588096,-0.15577519,-0.3249533,-0.25815865,0.15960966,-0.24913165,-0.100486964,0.5038831,-0.18779431,0.36141527,0.1306528,-0.20802934,-0.43290272,-0.15065613,-0.0032986328,0.22274648,0.56650627,0.34501594,0.08512551,0.32821202,0.20385318,-0.4719475,-0.22366203,0.4378237,-0.28759575,0.018326992,0.2279669,0.058891945,-0.21097937,-0.15172362,-0.33332697,-0.14290479,0.19522038,-0.07992114,0.41101858,0.5509841,-0.19593133,-0.22208157,-0.4646526,-0.7046565,-0.041322637,-0.06684652,-0.106788926,-0.20835134,-0.6535808,-0.1728822,0.43043,0.21100263,0.0521031,-0.39835092,0.11715329,-0.12664884,0.0072118896,0.46267465
hùng vĩ,0.1727661,0.15111645,0.4550413,0.11318988,-0.009855262,0.046593502,0.07012046,0.21738945,-0.17506766,0.23492195,-0.22218531,-0.24133575,0.15975311,-0.33414313,-0.0018104006,-0.4162551,0.053229284,0.42783096,0.05741538,0.4723354,0.09825822,-0.07943337,-0.2529108,-0.21833822,0.05187431,-0.014357436,0.2895002,0.13636261,0.09757972,0.39217755,0.1068623,-0.40840757,-0.042647652,0.13571072,-0.028661313,0.20849608,0.21500883,-0.028870948,-0.25847805,-0.36819592,-0.25954342,-0.1246205,0.160686,0.22265361,0.3833319,0.34138218,0.103512496,-0.17014974,-0.22118683,-0.37311834,0.08891692,0.105692714,-0.08952357,0.025580985,-0.3251541,0.0005223194,0.25815767,-0.17971034,-0.10123102,-0.08549326,0.035093904,0.09527613,0.012757268,0.39712495
việt nam,0.20129623,0.25330746,0.1860242,0.08201568,0.14598002,0.19336116,0.029935401,0.05835432,0.113943204,0.02650147,-0.6263496,0.20973867,-0.13315341,-0.29017532,-0.3315411,-0.389481,0.060659386,0.46527168,-0.36589321,-0.3324793,-0.2187817,-0.32446972,0.022962682,-0.3905946,0.16595456,-0.21712907,-0.4044232,0.08379654,-0.3102699,-0.3316275,-0.042316012,-0.056371473,-0.22188254,-0.31617665,0.52095467,0.031086447,0.14621139,0.0133384075,-0.20583753,0.11687033,-0.21757211,0.09509747,0.21424583,0.53524244,0.43320805,-0.033822745,-0.20494033,-0.09331673,0.12176489,-0.9729626,0.25990146,0.15035121,0.011420967,-0.12897693,-0.5839487,-0.34819305,0.12433869,-0.18650138,0.10597178,-0.21098971,-0.16994116,0.30044147,-0.4194439,0.026714105
cao,-0.33298415,-0.32048637,-0.33173567,0.15974082,0.27467114,-0.005817391,0.1384363,-0.06297777,-0.08179244,-0.05226259,-0.23751476,-0.019567123,0.3521032,-0.3849053,-0.07826781,-0.10993834,-0.18277217,0.78137225,0.06369186,0.1740851,0.21094573,-0.2656424,-0.22602564,-0.19023284,0.08279451,-0.41336235,-0.13103904,-0.23408823,-0.27526784,0.07295263,0.072676755,0.19362174,-0.16321234,-0.16731575,0.36232504,0.03727679,0.32421824,-0.34497482,-0.15052499,-0.05624785,0.07728609,-0.19793923,-0.28123057,0.08330443,-0.14227307,0.18307067,0.169856,-0.37484178,0.013180993,-0.33265457,0.34248194,0.18216908,-0.12748052,-0.21981366,-0.3262113,-0.06593208,0.17081596,-0.640138,0.1449531,-0.17171729,-0.15668556,0.45984554,0.2712118,0.18649922
